"BehaviorSpace results (NetLogo 6.1.1)"
"coc00031.nlogo"
"Allv3"
"03/02/2020 05:00:27:711 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-8","8"
"[run number]","number-of-lanes","max-patience","acceleration","number-of-cars","deceleration","[step]","[speed] of selected-car"
"372","1","1","0.008","141","0.04","999","0"
"373","1","1","0.008","141","0.06","999","0"
"374","1","1","0.008","141","0.08","999","0"
"375","1","1","0.008","141","0.1","999","0"
"376","1","1","0.008","151","0.02","999","0"
"377","1","1","0.008","151","0.04","999","0"
"378","1","1","0.008","151","0.06","999","0"
"379","1","1","0.008","151","0.08","999","0"
"380","1","1","0.008","151","0.1","999","0"
"382","1","1","0.008","161","0.04","999","0"
"381","1","1","0.008","161","0.02","999","0"
"384","1","1","0.008","161","0.08","999","0"
"383","1","1","0.008","161","0.06","999","0"
"385","1","1","0.008","161","0.1","999","0"
"386","1","1","0.008","171","0.02","999","0"
"388","1","1","0.008","171","0.06","999","0"
"389","1","1","0.008","171","0.08","999","0"
"387","1","1","0.008","171","0.04","999","0"
"390","1","1","0.008","171","0.1","999","0"
"391","1","1","0.008","181","0.02","999","0"
"392","1","1","0.008","181","0.04","999","0"
"393","1","1","0.008","181","0.06","999","0"
"394","1","1","0.008","181","0.08","999","0"
"401","1","1","0.01","1","0.02","999","0"
"395","1","1","0.008","181","0.1","999","0"
"396","1","1","0.008","191","0.02","999","0"
"402","1","1","0.01","1","0.04","999","0"
"398","1","1","0.008","191","0.06","999","0"
"399","1","1","0.008","191","0.08","999","0"
"397","1","1","0.008","191","0.04","999","0"
"400","1","1","0.008","191","0.1","999","0"
"403","1","1","0.01","1","0.06","999","0"
"404","1","1","0.01","1","0.08","999","0"
"405","1","1","0.01","1","0.1","999","0"
"406","1","1","0.01","11","0.02","999","0"
"408","1","1","0.01","11","0.06","999","0"
"407","1","1","0.01","11","0.04","999","0"
"410","1","1","0.01","11","0.1","999","0"
"409","1","1","0.01","11","0.08","999","0"
"411","1","1","0.01","21","0.02","999","0"
"412","1","1","0.01","21","0.04","999","0"
"413","1","1","0.01","21","0.06","999","0"
"414","1","1","0.01","21","0.08","999","0"
"415","1","1","0.01","21","0.1","999","0"
"416","1","1","0.01","31","0.02","999","0"
"417","1","1","0.01","31","0.04","999","0"
"418","1","1","0.01","31","0.06","999","0"
"419","1","1","0.01","31","0.08","999","0"
